CustomerId,NumOfProducts,HasChckng,IsActiveMember,Tenure,CreditScore,Balance,EstimatedSalary,Surname,Geography,Gender,Age,Exited
15565701,1.0,0.0,0.0,9.0,698.0,161993.89,90212.38,Ferri,Central,Female,39.0,0.0
15565706,1.0,1.0,1.0,1.0,612.0,,83256.26,Akobundu,Central,Male,35.0,1.0
15565714,2.0,0.0,1.0,1.0,601.0,64430.06,96517.97,Cattaneo,West,Male,47.0,0.0
15565779,1.0,1.0,0.0,6.0,627.0,57809.32,188258.49,Kent,East,Female,30.0,0.0
15565796,1.0,1.0,0.0,10.0,745.0,96048.55,74510.65,Docherty,East,Male,48.0,0.0
15565806,2.0,0.0,0.0,9.0,532.0,,30583.95,Toosey,West,Male,38.0,0.0
15565878,2.0,1.0,1.0,3.0,631.0,,197963.46,Bates,Central,Male,29.0,0.0
15565879,2.0,1.0,1.0,9.0,845.0,,56185.98,Riley,West,Female,28.0,0.0
15565891,2.0,1.0,0.0,8.0,709.0,,56214.09,Dipietro,West,Male,39.0,0.0
15565996,2.0,1.0,1.0,8.0,653.0,,154639.72,Arnold,West,Male,44.0,0.0
15566030,1.0,0.0,0.0,5.0,497.0,80542.81,88729.22,Tu,East,Male,41.0,1.0
15566091,1.0,1.0,0.0,4.0,545.0,,94739.2,Thomsen,Central,Female,32.0,0.0
15566111,1.0,1.0,0.0,9.0,596.0,,48963.59,Estes,West,Male,39.0,0.0
15566139,1.0,1.0,0.0,5.0,526.0,53573.18,62830.97,Ts'ui,West,Female,37.0,0.0
15566156,2.0,0.0,0.0,0.0,749.0,71497.79,151083.8,Franklin,East,Female,44.0,0.0
15566211,1.0,1.0,0.0,1.0,616.0,103560.57,236.45,Hsu,East,Female,41.0,1.0
15566251,1.0,1.0,0.0,5.0,618.0,96652.86,98686.4,Ferrari,West,Female,37.0,1.0
15566253,1.0,0.0,0.0,9.0,580.0,143391.07,146891.07,Manning,East,Male,44.0,1.0
15566269,2.0,1.0,0.0,5.0,787.0,,47307.9,Chialuka,West,Male,25.0,0.0
15566292,2.0,0.0,1.0,1.0,574.0,,71709.12,Okwuadigbo,Central,Male,36.0,0.0
15566295,2.0,1.0,0.0,6.0,761.0,138053.79,148779.41,Sanders,West,Female,33.0,0.0
15566312,3.0,1.0,1.0,5.0,660.0,,189016.24,Jolly,Central,Female,42.0,1.0
15566378,1.0,0.0,1.0,5.0,515.0,129387.94,147955.91,Tillman,West,Male,48.0,1.0
15566380,2.0,1.0,1.0,10.0,586.0,66948.67,140759.03,Drury,Central,Female,33.0,0.0
15566467,2.0,1.0,1.0,0.0,683.0,138171.1,188203.58,Hannah,East,Female,32.0,0.0
15566494,2.0,1.0,0.0,2.0,487.0,,77475.73,Fang,West,Male,45.0,0.0
15566495,1.0,1.0,0.0,2.0,704.0,,35600.25,Hanson,Central,Female,24.0,1.0
15566531,1.0,0.0,1.0,4.0,724.0,88046.88,186942.49,Iloerika,East,Male,33.0,1.0
15566543,2.0,1.0,0.0,9.0,573.0,,107124.17,Aldridge,Central,Male,44.0,0.0
15566563,1.0,1.0,0.0,4.0,777.0,137851.31,5008.23,Duigan,West,Female,30.0,1.0
15566594,2.0,0.0,0.0,10.0,709.0,,129590.18,McKenzie,Central,Male,23.0,0.0
15566633,2.0,1.0,1.0,8.0,698.0,155059.1,144584.29,Freeman,East,Male,55.0,0.0
15566660,3.0,1.0,0.0,10.0,670.0,,81602.02,Cole,West,Female,41.0,0.0
15566689,2.0,1.0,1.0,8.0,554.0,,116747.62,Chimaoke,Central,Male,66.0,0.0
15566708,2.0,1.0,0.0,4.0,444.0,,161653.5,Chidalu,West,Female,45.0,1.0
15566735,2.0,1.0,1.0,2.0,548.0,108913.84,140460.01,Obialo,East,Female,36.0,0.0
15566740,1.0,0.0,1.0,3.0,587.0,83739.32,148798.45,Nazarova,Central,Male,51.0,0.0
15566790,2.0,0.0,1.0,8.0,598.0,129991.76,46041.08,McIntyre,West,Male,28.0,0.0
15566843,1.0,1.0,1.0,9.0,535.0,134874.4,118825.56,Gotch,East,Male,20.0,0.0
15566891,1.0,1.0,0.0,3.0,584.0,88594.93,178997.89,Kinder,East,Female,41.0,0.0
15566894,1.0,0.0,0.0,3.0,793.0,137817.52,83997.79,Gray,West,Male,39.0,0.0
15566958,1.0,1.0,1.0,7.0,667.0,167557.12,41183.02,Li Fonti,Central,Male,39.0,0.0
15566988,1.0,1.0,0.0,7.0,656.0,141535.52,50595.15,Iqbal,East,Female,46.0,1.0
15567013,2.0,1.0,0.0,3.0,779.0,,30804.68,De Luca,Central,Male,33.0,0.0
15567063,1.0,0.0,1.0,6.0,766.0,106434.94,137995.66,Manna,East,Female,34.0,1.0
15567078,1.0,1.0,1.0,8.0,789.0,66201.96,79458.12,Kovaleva,West,Female,27.0,0.0
15567114,1.0,0.0,0.0,1.0,430.0,118894.22,2923.61,McGarry,West,Male,35.0,0.0
15567147,2.0,1.0,1.0,4.0,802.0,,81908.09,Ratten,Central,Male,40.0,0.0
15567246,2.0,1.0,1.0,3.0,684.0,102630.13,127433.47,Selwyn,East,Male,32.0,0.0
15567328,1.0,0.0,1.0,5.0,738.0,177997.07,19233.41,Ch'en,Central,Male,38.0,0.0
15567333,2.0,1.0,0.0,7.0,712.0,,170333.38,Archambault,West,Female,31.0,0.0
15567335,2.0,1.0,1.0,7.0,559.0,,190040.29,Allsop,West,Female,42.0,0.0
15567339,1.0,1.0,1.0,9.0,735.0,,114283.33,Shaw,West,Male,73.0,0.0
15567367,1.0,0.0,1.0,9.0,601.0,133636.16,103315.74,Tao,East,Female,42.0,0.0
15567383,2.0,0.0,1.0,2.0,678.0,98009.13,31384.86,Slone,East,Female,44.0,0.0
15567399,1.0,1.0,1.0,3.0,633.0,144164.29,158646.46,Enderby,East,Male,43.0,0.0
15567422,2.0,1.0,0.0,6.0,630.0,,162697.93,Chiazagomekpele,West,Male,42.0,0.0
15567431,1.0,0.0,1.0,2.0,773.0,145578.28,186172.85,Kodilinyechukwu,West,Male,64.0,0.0
15567437,1.0,1.0,1.0,7.0,734.0,123040.38,76503.06,Emenike,East,Female,30.0,0.0
15567442,2.0,1.0,1.0,3.0,656.0,,1276.87,Ibezimako,West,Female,75.0,0.0
15567446,1.0,1.0,1.0,9.0,646.0,111574.41,30838.51,Coffman,East,Male,39.0,0.0
15567486,2.0,1.0,1.0,4.0,634.0,,164549.74,Li,Central,Female,41.0,0.0
15567506,2.0,1.0,1.0,6.0,738.0,114940.67,194895.57,Cheatham,East,Female,40.0,1.0
15567557,1.0,1.0,1.0,2.0,573.0,128243.03,11631.34,Chien,West,Male,27.0,0.0
15567630,1.0,1.0,0.0,6.0,721.0,100275.88,138564.48,Bruce,East,Male,40.0,1.0
15567725,2.0,1.0,1.0,7.0,689.0,52016.08,72993.65,Kodilinyechukwu,West,Female,46.0,0.0
15567778,1.0,1.0,1.0,1.0,690.0,144027.8,108731.02,Genovese,East,Female,54.0,1.0
15567802,2.0,1.0,0.0,2.0,450.0,,175480.93,Childs,Central,Female,34.0,0.0
15567832,1.0,1.0,0.0,7.0,550.0,114354.95,54018.93,Shih,West,Female,40.0,0.0
15567834,1.0,1.0,1.0,5.0,719.0,105918.1,16246.59,Nieves,West,Male,49.0,0.0
15567839,1.0,0.0,1.0,9.0,501.0,114631.23,91429.74,Gordon,West,Male,42.0,0.0
15567855,2.0,0.0,0.0,1.0,623.0,,39382.06,Chukwufumnanya,West,Female,29.0,0.0
15567860,2.0,1.0,0.0,7.0,581.0,189318.16,45026.23,Burrows,Central,Female,44.0,1.0
15567893,2.0,1.0,0.0,3.0,556.0,124213.36,62627.55,Lei,East,Male,33.0,0.0
15567897,1.0,1.0,1.0,5.0,619.0,132725.1,143913.33,Chiazagomekpere,East,Male,23.0,0.0
15567919,2.0,0.0,1.0,8.0,586.0,167735.69,104665.79,Lazarev,East,Male,37.0,0.0
